Year,Country,Clean GW,Fossil GW,Gas and Other Fossil GW,"Hydro, Bioenergy and Other Renewables GW",Renewables GW,Wind and Solar GW,Bioenergy GW,Coal GW,Gas GW,Hydro GW,Nuclear GW,Other Fossil GW,Other Renewables GW,Solar GW,Wind GW,Demand TWh,Demand per capita MWh,Clean %,Fossil %,Gas and Other Fossil %,"Hydro, Bioenergy and Other Renewables %",Renewables %,Wind and Solar %,Clean TWh,Fossil TWh,Gas and Other Fossil TWh,"Hydro, Bioenergy and Other Renewables TWh",Renewables TWh,Wind and Solar TWh,Bioenergy %,Coal %,Gas %,Hydro %,Nuclear %,Other Fossil %,Other Renewables %,Solar %,Wind %,Bioenergy TWh,Coal TWh,Gas TWh,Hydro TWh,Nuclear TWh,Other Fossil TWh,Other Renewables TWh,Solar TWh,Wind TWh,Total Generation TWh,Net Imports TWh,Clean mtCO2,Fossil mtCO2,Gas and Other Fossil mtCO2,"Hydro, Bioenergy and Other Renewables mtCO2",Renewables mtCO2,Wind and Solar mtCO2,CO2 intensity gCO2/kWh,Bioenergy mtCO2,Coal mtCO2,Gas mtCO2,Hydro mtCO2,Nuclear mtCO2,Other Fossil mtCO2,Other Renewables mtCO2,Solar mtCO2,Wind mtCO2,Total emissions mtCO2,"GDP per capita,PPP"
2010,Slovenia,1.8,1.32,0.38,1.12,1.13,0.01,0.05,0.94,0.38,1.07,0.67,0,0,0.01,0,14.14,6.87,64.02,35.97,3.44,29.15,29.21,0.06,10.41,5.85,0.56,4.74,4.75,0.01,1.35,32.53,3.38,27.8,34.81,0.06,0,0.06,0,0.22,5.29,0.55,4.52,5.66,0.01,0,0.01,0,16.26,-2.12,0.19,5.56,0.21,0.16,0.16,0,353.63,0.05,5.35,0.2,0.11,0.03,0.01,0,0,0,5.75,33350.613
2011,Slovenia,1.87,1.32,0.38,1.12,1.18,0.06,0.05,0.94,0.38,1.07,0.69,0,0,0.06,0,14.55,7.04,63.44,36.56,3.21,23.93,24.37,0.44,10.1,5.82,0.51,3.81,3.88,0.07,1.57,33.35,3.08,22.36,39.07,0.13,0,0.44,0,0.25,5.31,0.49,3.56,6.22,0.02,0,0.07,0,15.92,-1.37,0.16,5.55,0.18,0.13,0.13,0,358.67,0.05,5.37,0.17,0.08,0.03,0.01,0,0,0,5.71,33568.066
2012,Slovenia,1.96,1.32,0.38,1.13,1.27,0.14,0.06,0.94,0.38,1.07,0.69,0,0,0.14,0,14.51,7.01,63.41,36.59,3.54,26.82,27.85,1.03,9.86,5.69,0.55,4.17,4.33,0.16,1.74,33.05,3.41,25.08,35.56,0.13,0,1.03,0,0.27,5.14,0.53,3.9,5.53,0.02,0,0.16,0,15.55,-1.04,0.19,5.4,0.2,0.15,0.16,0.01,359.49,0.06,5.2,0.19,0.09,0.03,0.01,0,0.01,0,5.59,32613.49
2013,Slovenia,2.06,1.32,0.38,1.18,1.37,0.19,0.06,0.94,0.38,1.12,0.69,0,0,0.19,0,14.51,7,65.88,34.11,3.29,30.95,32.34,1.39,10.41,5.39,0.52,4.89,5.11,0.22,1.65,30.82,3.23,29.3,33.54,0.06,0,1.39,0,0.26,4.87,0.51,4.63,5.3,0.01,0,0.22,0,15.8,-1.29,0.21,5.11,0.19,0.17,0.18,0.01,336.71,0.06,4.92,0.18,0.11,0.03,0.01,0,0.01,0,5.32,32234.025
2014,Slovenia,2.09,1.25,0.38,1.18,1.4,0.22,0.06,0.87,0.38,1.12,0.69,0,0,0.22,0,14.41,6.95,75.63,24.37,2.45,36.97,38.49,1.52,12.97,4.18,0.42,6.34,6.6,0.26,1.46,21.92,2.16,35.51,37.14,0.29,0,1.52,0,0.25,3.76,0.37,6.09,6.37,0.05,0,0.26,0,17.15,-2.74,0.23,3.96,0.16,0.19,0.2,0.01,244.32,0.05,3.8,0.13,0.14,0.03,0.03,0,0.01,0,4.19,33093.75
2015,Slovenia,2.11,1.85,0.38,1.18,1.42,0.24,0.06,1.47,0.38,1.12,0.69,0,0,0.24,0,14.75,7.09,67.57,32.43,2.84,27.5,29.39,1.89,10,4.8,0.42,4.07,4.35,0.28,1.76,29.59,2.7,25.74,38.18,0.14,0,1.82,0.07,0.26,4.38,0.4,3.81,5.65,0.02,0,0.27,0.01,14.8,-0.05,0.19,4.5,0.15,0.15,0.16,0.01,316.89,0.06,4.35,0.14,0.09,0.03,0.01,0,0.01,0,4.69,33799.727
2016,Slovenia,2.09,1.85,0.38,1.17,1.4,0.23,0.06,1.47,0.38,1.11,0.69,0,0,0.23,0,15.05,7.2,66.42,33.58,2.71,29.46,31.18,1.72,10.78,5.45,0.44,4.78,5.06,0.28,1.73,30.87,2.59,27.73,35.24,0.12,0,1.66,0.06,0.28,5.01,0.42,4.5,5.72,0.02,0,0.27,0.01,16.23,-1.18,0.21,5.08,0.16,0.17,0.18,0.01,325.94,0.06,4.92,0.15,0.11,0.03,0.01,0,0.01,0,5.29,34853.043
2017,Slovenia,2.17,1.85,0.38,1.23,1.48,0.25,0.06,1.47,0.38,1.17,0.69,0,0,0.25,0,15.53,7.4,66.84,33.14,3.11,25.85,27.65,1.8,10.73,5.32,0.5,4.15,4.44,0.29,1.74,30.03,2.99,24.11,39.19,0.12,0,1.74,0.06,0.28,4.82,0.48,3.87,6.29,0.02,0,0.28,0.01,16.05,-0.52,0.19,4.92,0.18,0.15,0.16,0.01,318.38,0.06,4.74,0.17,0.09,0.03,0.01,0,0.01,0,5.11,36507.555
2018,Slovenia,2.16,1.5,0.43,1.22,1.47,0.25,0.06,1.07,0.43,1.16,0.69,0,0,0.25,0,15.62,7.42,68.24,31.76,3.1,30.77,32.38,1.61,11,5.12,0.5,4.96,5.22,0.26,1.61,28.66,2.98,29.16,35.86,0.12,0,1.55,0.06,0.26,4.62,0.48,4.7,5.78,0.02,0,0.25,0.01,16.12,-0.5,0.21,4.7,0.18,0.17,0.18,0.01,304.59,0.06,4.52,0.17,0.11,0.03,0.01,0,0.01,0,4.91,37995.715
2019,Slovenia,2.2,1.5,0.43,1.23,1.51,0.28,0.06,1.07,0.43,1.17,0.69,0,0,0.28,0,15.57,7.37,68.34,31.65,3.46,29.76,31.71,1.95,10.86,5.03,0.55,4.73,5.04,0.31,1.57,28.19,3.4,28.19,36.63,0.06,0,1.89,0.06,0.25,4.48,0.54,4.48,5.82,0.01,0,0.3,0.01,15.89,-0.32,0.2,4.55,0.2,0.16,0.17,0.01,298.93,0.05,4.35,0.19,0.11,0.03,0.01,0,0.01,0,4.75,39061.25
2020,Slovenia,2.3,1.56,0.49,1.24,1.61,0.37,0.07,1.07,0.49,1.17,0.69,0,0,0.37,0,14.89,7.03,70.64,29.36,3.55,30.79,33.04,2.25,11.93,4.96,0.6,5.2,5.58,0.38,1.6,25.81,3.43,29.19,37.6,0.12,0,2.19,0.06,0.27,4.36,0.58,4.93,6.35,0.02,0,0.37,0.01,16.89,-2,0.23,4.45,0.22,0.18,0.2,0.02,277.09,0.06,4.23,0.21,0.12,0.03,0.01,0,0.02,0,4.68,37155.023
2021,Slovenia,2.39,1.49,0.42,1.24,1.7,0.46,0.07,1.07,0.42,1.17,0.69,0,0,0.46,0,15.32,7.23,71.52,28.49,3.79,31.94,34.89,2.95,11.15,4.44,0.59,4.98,5.44,0.46,1.73,24.7,3.34,30.21,36.63,0.45,0,2.89,0.06,0.27,3.85,0.52,4.71,5.71,0.07,0,0.45,0.01,15.59,-0.27,0.22,3.98,0.24,0.17,0.19,0.02,269.4,0.06,3.74,0.19,0.11,0.03,0.05,0,0.02,0,4.2,40104.36
2022,Slovenia,2.56,1.49,0.42,1.24,1.87,0.63,0.07,1.07,0.42,1.17,0.69,0,0,0.63,0,14.81,6.99,72.46,27.55,4.12,25.53,30.47,4.94,9.68,3.68,0.55,3.41,4.07,0.66,1.95,23.43,3.67,23.58,41.99,0.45,0,4.87,0.07,0.26,3.13,0.49,3.15,5.61,0.06,0,0.65,0.01,13.36,1.45,0.19,3.25,0.21,0.13,0.16,0.03,257.49,0.06,3.04,0.17,0.07,0.03,0.04,0,0.03,0,3.44,41015.227
2000,Romania,7.07,10.99,3.25,6.37,6.37,0,0.25,7.74,2.14,6.12,0.7,1.11,0,0,0,50.86,2.32,39.26,60.75,24.05,28.67,28.67,0,20.24,31.32,12.4,14.78,14.78,0,0,36.7,17.46,28.67,10.59,6.59,0,0,0,0,18.92,9,14.78,5.46,3.4,0,0,0,51.56,-0.7,0.38,26.11,6.92,0.35,0.35,0,513.77,0,19.19,4.68,0.35,0.03,2.24,0,0,0,26.49,12176.631
2001,Romania,6.97,11.05,3.31,6.27,6.27,0,0.15,7.74,2.14,6.12,0.7,1.17,0,0,0,52.24,2.4,38.04,61.96,25.17,27.86,27.86,0,20.37,33.18,13.48,14.92,14.92,0,0,36.79,15.07,27.86,10.18,10.1,0,0,0,0,19.7,8.07,14.92,5.45,5.41,0,0,0,53.55,-1.31,0.38,27.71,7.75,0.35,0.35,0,524.56,0,19.96,4.19,0.35,0.03,3.56,0,0,0,28.09,12992.061
2002,Romania,6.94,11.05,3.31,6.24,6.24,0,0,7.74,2.14,6.24,0.7,1.17,0,0,0,51.57,2.38,39.61,60.38,23.06,29.49,29.49,0,21.56,32.86,12.55,16.05,16.05,0,0,37.32,16.48,29.49,10.12,6.58,0,0,0,0,20.31,8.97,16.05,5.51,3.58,0,0,0,54.42,-2.85,0.41,27.62,7.02,0.38,0.38,0,515.07,0,20.6,4.66,0.38,0.03,2.36,0,0,0,28.03,13986.716
2003,Romania,6.95,11.05,3.31,6.25,6.25,0,0,7.74,2.14,6.25,0.7,1.17,0,0,0,52.76,2.46,33.13,66.87,24.31,24.18,24.18,0,18.17,36.67,13.33,13.26,13.26,0,0,42.56,17.69,24.18,8.95,6.62,0,0,0,0,23.34,9.7,13.26,4.91,3.63,0,0,0,54.84,-2.08,0.34,31.13,7.43,0.32,0.32,0,573.85,0,23.7,5.04,0.32,0.02,2.39,0,0,0,31.47,14417.781
2004,Romania,6.98,11.05,3.31,6.28,6.28,0,0,7.74,2.14,6.28,0.7,1.17,0,0,0,55.29,2.6,39.07,60.93,22.89,29.24,29.24,0,22.06,34.41,12.93,16.51,16.51,0,0,38.04,18.52,29.24,9.83,4.37,0,0,0,0,21.48,10.46,16.51,5.55,2.47,0,0,0,56.47,-1.18,0.42,28.84,7.07,0.39,0.39,0,518.15,0,21.77,5.44,0.39,0.03,1.63,0,0,0,29.26,16012.26
2005,Romania,7,11.05,3.31,6.29,6.29,0,0,7.74,2.14,6.29,0.71,1.17,0,0,0,56.43,2.68,43.43,56.57,19.64,34.08,34.08,0,25.77,33.56,11.65,20.22,20.22,0,0.02,36.93,16.2,34.06,9.35,3.44,0,0,0,0.01,21.91,9.61,20.21,5.55,2.04,0,0,0,59.33,-2.9,0.51,28.56,6.33,0.48,0.48,0,489.97,0,22.23,4.99,0.48,0.03,1.34,0,0,0,29.07,16863.553
2006,Romania,6.99,10.71,3.31,6.28,6.28,0,0,7.4,2.14,6.28,0.71,1.17,0,0,0,58.29,2.79,38.35,61.65,21.45,29.35,29.35,0,23.99,38.57,13.42,18.36,18.36,0,0,40.2,18.91,29.35,9,2.54,0,0,0,0,25.15,11.83,18.36,5.63,1.59,0,0,0,62.56,-4.27,0.47,32.71,7.2,0.44,0.44,0,530.37,0,25.51,6.15,0.44,0.03,1.05,0,0,0,33.18,18325.736
2007,Romania,7.64,10.77,3.37,6.34,6.34,0,0.01,7.4,2.2,6.33,1.3,1.17,0,0,0,59.47,2.87,38.52,61.47,20.7,26,26,0,23.72,37.84,12.74,16.01,16.01,0,0.06,40.77,18.78,25.94,12.52,1.92,0,0,0,0.04,25.1,11.56,15.97,7.71,1.18,0,0,0,61.56,-2.09,0.43,32.18,6.79,0.39,0.39,0,529.73,0.01,25.39,6.01,0.38,0.04,0.78,0,0,0,32.61,19943.836
2008,Romania,7.67,10.57,3.37,6.37,6.37,0,0.01,7.2,2.2,6.36,1.3,1.17,0,0,0,60.61,2.94,43.86,56.13,16.32,26.55,26.55,0,28.45,36.41,10.59,17.22,17.22,0,0.03,39.81,15.29,26.52,17.31,1.03,0,0,0,0.02,25.82,9.92,17.2,11.23,0.67,0,0,0,64.86,-4.25,0.46,31.81,5.6,0.41,0.41,0,497.53,0,26.21,5.16,0.41,0.05,0.44,0,0,0,32.27,22166.418
2009,Romania,7.67,10.75,3.55,6.36,6.37,0.01,0,7.2,2.38,6.36,1.3,1.17,0,0,0.01,55.29,2.7,47.41,52.6,14.85,26.99,27.01,0.02,27.3,30.29,8.55,15.54,15.55,0.01,0.02,37.75,13.25,26.97,20.4,1.6,0,0,0.02,0.01,21.74,7.63,15.53,11.75,0.92,0,0,0.01,57.59,-2.3,0.43,26.62,4.58,0.37,0.37,0,469.7,0,22.04,3.97,0.37,0.06,0.61,0,0,0,27.05,21118.615
2010,Romania,8.09,10.76,3.6,6.4,6.79,0.39,0.02,7.16,2.43,6.38,1.3,1.17,0,0,0.39,58.15,2.86,52.82,47.18,12.95,33.08,33.59,0.51,31.92,28.5,7.82,19.99,20.3,0.31,0.18,34.23,12.02,32.9,19.23,0.93,0,0,0.51,0.11,20.68,7.26,19.88,11.62,0.56,0,0,0.31,60.42,-2.27,0.55,25.1,4.14,0.49,0.49,0,424.53,0.02,20.96,3.77,0.47,0.06,0.37,0,0,0,25.65,20415.629
2011,Romania,8.71,10.76,3.6,6.42,7.41,0.99,0.03,7.16,2.43,6.39,1.3,1.17,0,0,0.99,59.89,2.96,45.41,54.58,14.48,24.15,26.4,2.25,28.07,33.73,8.95,14.93,16.32,1.39,0.32,40.1,13.53,23.83,19.01,0.95,0,0,2.25,0.2,24.78,8.36,14.73,11.75,0.59,0,0,1.39,61.8,-1.91,0.47,29.85,4.73,0.39,0.41,0.02,490.62,0.04,25.12,4.34,0.35,0.06,0.39,0,0,0.02,30.32,21443.033
2012,Romania,9.65,11.41,4.46,6.49,8.35,1.86,0.03,6.95,3.29,6.46,1.3,1.17,0,0.04,1.82,58.79,2.92,45.1,54.91,15.79,20.98,25.51,4.53,26.4,32.14,9.24,12.28,14.93,2.65,0.36,39.12,14.9,20.62,19.59,0.89,0,0.02,4.51,0.21,22.9,8.72,12.07,11.47,0.52,0,0.01,2.64,58.54,0.25,0.43,28.07,4.87,0.34,0.37,0.03,486.85,0.05,23.2,4.53,0.29,0.06,0.34,0,0,0.03,28.5,21953.324
2013,Romania,11.4,11.25,4.46,6.57,10.1,3.53,0.05,6.79,3.29,6.52,1.3,1.17,0,0.76,2.77,56.17,2.8,54.6,45.4,16.29,26.14,34.63,8.49,31.77,26.42,9.48,15.21,20.15,4.94,0.43,29.11,15.91,25.71,19.97,0.38,0,0.72,7.77,0.25,16.94,9.26,14.96,11.62,0.22,0,0.42,4.52,58.19,-2.02,0.55,22.13,4.95,0.41,0.49,0.08,389.76,0.05,17.18,4.81,0.36,0.06,0.14,0,0.02,0.06,22.68,22094.48
2014,Romania,12.44,11.25,4.46,6.61,11.14,4.53,0.09,6.79,3.29,6.52,1.3,1.17,0,1.29,3.24,57.79,2.89,59.77,40.24,12.88,29.73,41.78,12.05,38.8,26.12,8.36,19.3,27.12,7.82,0.77,27.36,12.48,28.96,17.99,0.4,0,2.5,9.55,0.5,17.76,8.1,18.8,11.68,0.26,0,1.62,6.2,64.92,-7.13,0.78,22.4,4.38,0.56,0.72,0.16,357.06,0.11,18.02,4.21,0.45,0.06,0.17,0,0.08,0.08,23.18,23091.254
2015,Romania,12.52,10.52,4.46,6.76,11.22,4.46,0.12,6.06,3.29,6.64,1.3,1.17,0,1.33,3.13,58.93,2.96,57.62,42.38,14.77,26.12,39.89,13.77,37.83,27.83,9.7,17.15,26.19,9.04,0.79,27.61,14.3,25.33,17.73,0.47,0,3.02,10.75,0.52,18.13,9.39,16.63,11.64,0.31,0,1.98,7.06,65.66,-6.73,0.75,23.48,5.08,0.51,0.69,0.18,369.02,0.11,18.4,4.88,0.4,0.06,0.2,0,0.09,0.09,24.23,23933.29
2016,Romania,12.46,10.47,4.51,6.76,11.16,4.4,0.12,5.96,3.34,6.64,1.3,1.17,0,1.37,3.03,59.2,2.99,59.58,40.43,15.7,28.91,42,13.09,38.26,25.96,10.08,18.56,26.97,8.41,0.83,24.73,15.03,28.08,17.58,0.67,0,2.83,10.26,0.53,15.88,9.65,18.03,11.29,0.43,0,1.82,6.59,64.22,-5.02,0.76,21.42,5.3,0.54,0.71,0.17,345.38,0.11,16.12,5.02,0.43,0.05,0.28,0,0.09,0.08,22.18,24758.818
2017,Romania,12.44,10.47,4.51,6.74,11.14,4.4,0.14,5.96,3.34,6.6,1.3,1.17,0,1.37,3.03,60.65,3.08,56.33,43.66,17.25,23.63,38.22,14.59,35.8,27.74,10.96,15.02,24.29,9.27,0.83,26.41,16.78,22.8,18.11,0.47,0,2.93,11.66,0.53,16.78,10.66,14.49,11.51,0.3,0,1.86,7.41,63.54,-2.89,0.69,22.77,5.74,0.45,0.63,0.18,369.22,0.11,17.03,5.54,0.34,0.06,0.2,0,0.09,0.09,23.46,26943.463
2018,Romania,12.47,10.47,4.51,6.75,11.17,4.42,0.14,5.96,3.34,6.61,1.3,1.17,0,1.39,3.03,61.53,3.14,58.63,41.37,16.94,28.25,40.87,12.62,37.57,26.5,10.85,18.1,26.19,8.09,0.69,24.43,16.42,27.56,17.76,0.52,0,2.76,9.86,0.44,15.65,10.52,17.66,11.38,0.33,0,1.77,6.32,64.07,-2.54,0.73,21.57,5.69,0.52,0.68,0.16,348.06,0.1,15.88,5.47,0.42,0.05,0.22,0,0.08,0.08,22.3,28736.217
2019,Romania,12.47,9.52,4.51,6.73,11.17,4.44,0.14,5.01,3.34,6.59,1.3,1.17,0,1.4,3.04,60.28,3.09,61.11,38.88,15.72,27.36,41.91,14.55,35.91,22.85,9.24,16.08,24.63,8.55,0.85,23.16,15.23,26.51,19.2,0.49,0,3.03,11.52,0.5,13.61,8.95,15.58,11.28,0.29,0,1.78,6.77,58.76,1.52,0.69,18.64,4.84,0.48,0.64,0.16,328.97,0.11,13.8,4.65,0.37,0.05,0.19,0,0.08,0.08,19.33,30001.105
2020,Romania,12.42,9.52,4.51,6.73,11.12,4.39,0.17,5.01,3.34,6.56,1.3,1.17,0,1.38,3.01,58,2.98,65.36,34.64,17.69,28.86,44.58,15.72,36.08,19.13,9.77,15.93,24.61,8.68,1,16.95,17.13,27.86,20.78,0.56,0,3.13,12.59,0.55,9.36,9.46,15.38,11.47,0.31,0,1.73,6.95,55.21,2.79,0.72,14.62,5.12,0.49,0.66,0.17,277.85,0.12,9.5,4.92,0.37,0.06,0.2,0,0.08,0.09,15.34,29057.408
2021,Romania,12.41,7.8,4.51,6.71,11.11,4.4,0.14,3.29,3.34,6.57,1.3,1.17,0,1.39,3.01,60.76,3.14,64.24,35.75,17.5,30.84,44.98,14.14,37.62,20.94,10.25,18.06,26.34,8.28,1.11,18.25,16.92,29.73,19.26,0.58,0,2.9,11.24,0.65,10.69,9.91,17.41,11.28,0.34,0,1.7,6.58,58.56,2.2,0.76,16.22,5.37,0.55,0.71,0.16,289.96,0.14,10.85,5.15,0.41,0.05,0.22,0,0.08,0.08,16.98,30946.277
2022,Romania,12.88,7.8,4.51,6.75,11.58,4.83,0.18,3.29,3.34,6.57,1.3,1.17,0,1.81,3.02,55.93,2.89,63.39,36.6,17.65,26.74,43.12,16.38,34.68,20.03,9.66,14.63,23.59,8.96,1.19,18.95,17.05,25.55,20.27,0.6,0,3.64,12.74,0.65,10.37,9.33,13.98,11.09,0.33,0,1.99,6.97,54.71,1.22,0.7,15.6,5.07,0.47,0.65,0.18,297.94,0.14,10.53,4.85,0.33,0.05,0.22,0,0.09,0.09,16.3,32495.908
2000,Italy,17.9,63.28,54.61,17.52,17.9,0.38,0.4,8.67,53.35,16.39,0,1.26,0.73,0.02,0.36,314.29,5.52,18.84,81.16,71.42,18.62,18.84,0.22,50.87,219.07,192.79,50.29,50.87,0.58,0.51,9.74,37.55,16.37,0,33.87,1.74,0.01,0.21,1.39,26.28,101.36,44.2,0,91.43,4.7,0.02,0.56,269.94,44.35,1.54,133.88,109.24,1.53,1.54,0.01,501.67,0.3,24.64,49.08,1.05,0,60.16,0.18,0,0.01,135.42,43053.934
2001,Italy,18.29,63.53,54.93,17.61,18.29,0.68,0.42,8.6,53.57,16.46,0,1.36,0.73,0.02,0.66,320.28,5.62,19.99,80.01,68.34,19.55,19.99,0.44,54.35,217.55,185.82,53.15,54.35,1.2,0.67,11.67,38.32,17.22,0,30.02,1.66,0.01,0.43,1.83,31.73,104.19,46.81,0,81.63,4.51,0.02,1.18,271.9,48.38,1.69,133.9,104.16,1.68,1.69,0.01,498.68,0.4,29.74,50.45,1.11,0,53.71,0.17,0,0.01,135.59,43869.43
2002,Italy,18.73,63.5,54.9,17.93,18.73,0.8,0.51,8.6,53.54,16.56,0,1.36,0.86,0.02,0.78,328.13,5.75,17.41,82.59,69.82,16.9,17.41,0.51,48.31,229.22,193.77,46.89,48.31,1.42,0.98,12.77,35.82,14.24,0,34,1.68,0.01,0.5,2.71,35.45,99.41,39.52,0,94.36,4.66,0.02,1.4,277.53,50.6,1.73,143.44,110.22,1.71,1.73,0.02,523.08,0.59,33.22,48.13,0.94,0,62.09,0.18,0,0.02,145.17,43915.387
2003,Italy,19.17,64.74,56.14,18.27,19.17,0.9,0.64,8.6,54.78,16.7,0,1.36,0.93,0.03,0.87,337.24,5.87,16.38,83.64,70.08,15.86,16.38,0.52,46.86,239.41,200.6,45.38,46.86,1.48,1.18,13.56,40.98,12.81,0,29.1,1.87,0.01,0.51,3.37,38.81,117.3,36.67,0,83.3,5.34,0.02,1.46,286.27,50.97,1.82,147.97,111.6,1.8,1.82,0.02,523.25,0.73,36.37,56.79,0.87,0,54.81,0.2,0,0.02,149.79,43781.22
2004,Italy,19.47,67.33,58.98,18.31,19.47,1.16,0.65,8.35,57.62,16.79,0,1.36,0.87,0.03,1.13,339.34,5.87,18.35,81.66,66.16,17.71,18.35,0.64,53.87,239.84,194.32,52,53.87,1.87,1.44,15.5,44.21,14.42,0,21.95,1.85,0.01,0.63,4.22,45.52,129.84,42.34,0,64.48,5.44,0.03,1.84,293.71,45.63,2.14,147.94,105.29,2.12,2.14,0.02,510.98,0.91,42.65,62.86,1.01,0,42.43,0.2,0,0.02,150.08,44118.035
2005,Italy,20.24,70.93,62.23,18.58,20.24,1.66,0.64,8.7,60.79,17.04,0,1.44,0.9,0.03,1.63,343.78,5.91,16.44,83.56,68.76,15.64,16.44,0.8,48.43,246.2,202.59,46.06,48.43,2.37,1.59,14.8,50.68,12.24,0,18.08,1.81,0.01,0.79,4.67,43.61,149.33,36.07,0,53.26,5.32,0.03,2.34,294.63,49.15,2.1,148.21,107.35,2.07,2.1,0.03,510.17,1.01,40.86,72.3,0.86,0,35.05,0.2,0,0.03,150.31,44260.83
2006,Italy,20.63,74.45,65.75,18.68,20.63,1.95,0.65,8.7,64.31,17.11,0,1.44,0.92,0.05,1.9,350.6,6,16.56,83.44,68.97,15.58,16.56,0.98,50.64,254.97,210.76,47.63,50.64,3.01,1.67,14.47,51.75,12.1,0,17.22,1.81,0.01,0.97,5.11,44.21,158.14,36.99,0,52.62,5.53,0.04,2.97,305.61,44.99,2.23,152.64,111.19,2.19,2.23,0.04,506.76,1.1,41.45,76.57,0.88,0,34.62,0.21,0,0.04,154.87,44918.17
2007,Italy,21.6,77.6,68.9,18.79,21.6,2.81,0.69,8.7,67.46,17.16,0,1.44,0.94,0.11,2.7,352.45,6,15.59,84.42,70.01,14.26,15.59,1.33,47.72,258.45,214.34,43.65,47.72,4.07,1.72,14.41,56.41,10.72,0,13.6,1.82,0.01,1.32,5.26,44.11,172.71,32.82,0,41.63,5.57,0.04,4.03,306.17,46.28,2.18,152.36,111.01,2.13,2.18,0.05,504.75,1.14,41.35,83.62,0.78,0,27.39,0.21,0,0.05,154.54,45356.535
2008,Italy,23.16,80.45,72.39,19.15,23.16,4.01,0.88,8.06,70.95,17.32,0,1.44,0.95,0.48,3.53,351.6,5.94,18.67,81.33,67.51,17.05,18.67,1.62,58.16,253.41,210.34,53.11,58.16,5.05,1.92,13.82,55.45,13.36,0,12.06,1.77,0.06,1.56,5.97,43.07,172.77,41.62,0,37.57,5.52,0.19,4.86,311.57,40.03,2.56,148.71,108.37,2.49,2.56,0.07,485.51,1.29,40.34,83.65,0.99,0,24.72,0.21,0.01,0.06,151.27,44623.6
2009,Italy,25.77,81.3,72.58,19.63,25.77,6.14,1.17,8.72,71.14,17.41,0,1.44,1.05,1.26,4.88,331.32,5.56,24.18,75.82,61.94,21.66,24.18,2.52,69.26,217.1,177.36,62.04,69.26,7.22,2.64,13.88,51.46,17.16,0,10.48,1.86,0.24,2.28,7.56,39.74,147.36,49.14,0,30,5.34,0.68,6.54,286.36,44.96,3.11,128.21,91.09,3,3.11,0.11,458.58,1.63,37.12,71.35,1.17,0,19.74,0.2,0.03,0.08,131.32,42074.92
2010,Italy,29.51,83.87,73.9,20.12,29.51,9.39,1.47,9.97,72.46,17.56,0,1.44,1.09,3.6,5.79,340.79,5.7,25.93,74.05,60.66,22.22,25.93,3.71,76.97,219.66,179.93,65.94,76.97,11.03,3.18,13.39,51.52,17.23,0,9.14,1.81,0.64,3.07,9.44,39.73,152.81,51.12,0,27.12,5.38,1.91,9.12,296.63,44.16,3.65,128.77,91.83,3.45,3.65,0.2,446.42,2.04,36.94,73.99,1.21,0,17.84,0.2,0.09,0.11,132.42,42664.355
2011,Italy,40.83,84.74,74.77,20.77,40.83,20.06,1.89,9.97,73.33,17.78,0,1.44,1.1,13.14,6.92,344.1,5.73,27.8,72.19,57.2,20.88,27.8,6.92,82.95,215.42,170.69,62.3,82.95,20.65,3.63,14.99,48.46,15.36,0,8.74,1.89,3.62,3.3,10.83,44.73,144.6,45.82,0,26.09,5.65,10.8,9.85,298.37,45.73,4.27,128.66,87.18,3.64,4.27,0.63,445.52,2.34,41.48,70.01,1.09,0,17.17,0.21,0.51,0.12,132.93,42892.305
2012,Italy,46.71,84.63,74.66,21.82,46.71,24.89,2.8,9.97,73.22,17.92,0,1.44,1.1,16.79,8.1,338.35,5.62,31.23,68.76,52.12,20.3,31.23,10.93,92.22,203.03,153.89,59.95,92.22,32.27,4.23,16.64,43.74,14.18,0,8.38,1.89,6.39,4.54,12.49,49.14,129.14,41.87,0,24.75,5.59,18.86,13.41,295.25,43.1,4.96,124.39,78.82,3.9,4.96,1.06,438.1,2.7,45.57,62.53,0.99,0,16.29,0.21,0.9,0.16,129.35,41501.71
2013,Italy,48.86,82.36,72.39,22.13,48.86,26.73,2.93,9.97,70.95,18.05,0,1.44,1.15,18.19,8.54,328.16,5.44,39.16,60.85,45.08,26.4,39.16,12.76,112,174.02,128.92,75.51,112,36.49,5.97,15.77,38.08,18.45,0,7,1.98,7.55,5.21,17.08,45.1,108.91,52.77,0,20.01,5.66,21.59,14.9,286.02,42.14,6.36,107.72,65.9,5.15,6.36,1.21,398.85,3.69,41.82,52.73,1.25,0,13.17,0.21,1.03,0.18,114.08,40268.113
2014,Italy,49.53,78.75,68.92,22.25,49.53,27.28,2.95,9.83,67.48,18.12,0,1.44,1.18,18.6,8.68,320.25,5.31,43.64,56.36,40.65,30.08,43.64,13.56,120.68,155.85,112.4,83.19,120.68,37.49,6.77,15.71,33.87,21.17,0,6.78,2.14,8.07,5.49,18.72,43.45,93.66,58.55,0,18.74,5.92,22.31,15.18,276.53,43.72,6.91,97.96,57.68,5.66,6.91,1.25,379.24,4.05,40.28,45.35,1.39,0,12.33,0.22,1.06,0.19,104.87,39898.527
